student_id,first_name,last_name,email,department,year_of_study 
68-782-6740,Rycca,Pirrone,rpirrone0@homestead.com,Research and Development,2023-09-11
17-782-7690,Dick,Barth,dbarth1@godaddy.com,Marketing,2024-01-25
24-595-3740,Rey,Drinkhill,rdrinkhill2@mapy.cz,Marketing,2020-10-21
49-435-6906,Parke,Joplin,pjoplin3@issuu.com,Product Management,2020-12-07
04-323-5787,Roarke,Pikett,rpikett4@macromedia.com,Services,2024-04-09
64-495-2651,Glenn,Sawley,gsawley5@sphinn.com,Research and Development,2022-02-26
89-350-3043,Rocky,Collumbine,rcollumbine6@epa.gov,Business Development,2022-10-23
97-011-3959,Brook,Spires,bspires7@fc2.com,Engineering,2024-07-17
13-332-6458,Gavan,Carlick,gcarlick8@skype.com,Human Resources,2023-11-25
98-843-3582,Zorine,McKillop,zmckillop9@purevolume.com,Engineering,2021-08-01
99-959-4311,Kelcey,Sykes,ksykesa@chron.com,Engineering,2022-10-27
86-499-8701,Pacorro,Danzelman,pdanzelmanb@slate.com,Services,2021-10-21
98-879-8519,Gannon,Espinosa,gespinosac@behance.net,Accounting,2022-02-28
10-682-3209,Loydie,Whiting,lwhitingd@is.gd,Support,2024-02-25
13-055-4115,Rozanne,Harmant,rharmante@stumbleupon.com,Support,2023-10-08
79-062-8251,Simonne,Jorgesen,sjorgesenf@oakley.com,Legal,2024-07-30
47-266-7431,Janeta,Franzman,jfranzmang@ning.com,Product Management,2021-01-31
16-963-3326,Keefer,Vlasyuk,kvlasyukh@so-net.ne.jp,Services,2023-02-03
99-675-7471,Yanaton,Rudledge,yrudledgei@desdev.cn,Research and Development,2021-04-10
72-340-0823,Danny,Trees,dtreesj@4shared.com,Business Development,2024-02-01
87-899-0996,Sissie,Aldam,saldamk@digg.com,Business Development,2024-07-09
15-837-6277,Hunter,Roome,hroomel@salon.com,Research and Development,2020-12-04
80-013-4081,Mallory,Smails,msmailsm@issuu.com,Human Resources,2024-08-30
02-004-8357,Ermin,Varvara,evarvaran@360.cn,Accounting,2021-01-09
54-560-0352,Annabel,Ryan,aryano@google.nl,Marketing,2023-02-12
38-529-6876,Hildagarde,McKeaney,hmckeaneyp@redcross.org,Engineering,2021-01-31
03-760-3067,Jeanne,Yurshev,jyurshevq@123-reg.co.uk,Business Development,2023-04-09
19-024-8737,Edmund,Botterell,ebotterellr@discovery.com,Services,2023-07-19
55-520-3401,Aubrie,Antusch,aantuschs@livejournal.com,Accounting,2024-02-15
92-650-1397,Eula,Huckfield,ehuckfieldt@multiply.com,Marketing,2022-01-12
53-782-7324,Herve,Breewood,hbreewoodu@slashdot.org,Training,2024-04-01
57-429-2842,Odelinda,Haslam,ohaslamv@google.com.br,Sales,2022-02-10
34-895-1610,Romy,Letteresse,rletteressew@weather.com,Accounting,2023-06-10
13-916-6580,Clementius,Gunningham,cgunninghamx@yolasite.com,Services,2023-04-03
64-269-3728,Olav,Baynard,obaynardy@ca.gov,Marketing,2023-10-01
87-851-3160,Rich,Aguirre,raguirrez@google.com.au,Product Management,2020-12-18
53-621-5715,Cherida,Standring,cstandring10@ox.ac.uk,Human Resources,2023-12-26
56-855-9380,Powell,Lobley,plobley11@sciencedaily.com,Research and Development,2021-11-16
25-290-6968,Reilly,Rigbye,rrigbye12@newsvine.com,Training,2024-03-26
85-943-7454,Brina,Corroyer,bcorroyer13@vkontakte.ru,Legal,2022-04-14
18-882-7867,Estrellita,Joreau,ejoreau14@ebay.com,Research and Development,2022-12-13
19-530-2403,Derek,Minthorpe,dminthorpe15@discovery.com,Sales,2023-12-20
29-890-4103,Danni,Clues,dclues16@about.me,Engineering,2022-05-26
96-868-3713,Barbe,Tailby,btailby17@hc360.com,Product Management,2021-02-04
18-464-7022,Elizabet,McQuaker,emcquaker18@4shared.com,Business Development,2023-04-17
93-546-7379,Rem,Size,rsize19@google.ru,Support,2021-08-31
48-576-7579,Ossie,Baybutt,obaybutt1a@dailymotion.com,Research and Development,2023-07-03
73-946-5617,Diane-marie,Chiene,dchiene1b@sina.com.cn,Human Resources,2022-06-22
16-488-3256,Felita,Aldcorne,faldcorne1c@wisc.edu,Support,2020-09-18
05-554-1300,Clementina,Chennells,cchennells1d@altervista.org,Product Management,2023-03-11
67-406-8584,Nicolis,Ozanne,nozanne1e@godaddy.com,Training,2022-05-16
40-649-5721,Estevan,Madge,emadge1f@soup.io,Services,2023-01-15
50-196-3162,Cassius,Hadwen,chadwen1g@miibeian.gov.cn,Marketing,2021-06-24
08-435-2566,Bibbie,Kermode,bkermode1h@senate.gov,Services,2023-07-15
70-851-4371,Ollie,Deane,odeane1i@census.gov,Product Management,2021-10-17
77-562-6094,Kiel,Dhennin,kdhennin1j@usa.gov,Marketing,2023-03-12
25-245-3542,Boyd,Brabon,bbrabon1k@auda.org.au,Business Development,2024-04-26
70-352-6652,Corabel,Briers,cbriers1l@blogtalkradio.com,Training,2024-05-25
39-077-9315,Traci,Impy,timpy1m@istockphoto.com,Marketing,2024-08-06
61-038-2660,Maddy,Fallen,mfallen1n@sina.com.cn,Marketing,2022-04-25
41-384-4580,Arabela,Duffield,aduffield1o@msu.edu,Accounting,2021-10-30
79-417-1294,Dietrich,Blacklock,dblacklock1p@mozilla.com,Services,2021-05-01
89-622-0229,Lesli,Welds,lwelds1q@about.com,Engineering,2022-11-11
21-368-8103,Ara,Feaviour,afeaviour1r@hatena.ne.jp,Training,2021-11-05
30-851-0487,Evangelina,Jodrelle,ejodrelle1s@behance.net,Business Development,2020-10-06
54-868-5137,Vittoria,Shitliffe,vshitliffe1t@canalblog.com,Services,2021-08-08
69-109-5785,Luisa,Berling,lberling1u@skype.com,Business Development,2023-02-27
64-829-2849,Bud,Bebbington,bbebbington1v@jugem.jp,Accounting,2022-11-19
