student_id,first_name,last_name,email,department,year_of_study
c0da1d92-cd4e-4911-a19b-83cbf0c2e3a2,Vivia,Milson,.@yopmail.com,Colombia,2020-08-18
d018a796-a62a-4efc-83a9-bda11b94ce94,Caritta,Miru,.@yopmail.com,Bahamas,2021-06-04
99d38c39-5414-4b7f-baff-c49c5858d285,Fawne,Flyn,.@yopmail.com,Puerto Rico,2020-08-02
978c219a-82e4-48f9-af5b-7a8ffea57a60,Lelah,Weide,.@yopmail.com,Bolivia,2024-09-26
33317c10-4791-4b84-8f85-d0664b4e4da6,Elsie,Bebe,.@yopmail.com,Reunion,2022-03-20
8607757f-6009-4132-821e-0f9eee9e1d11,Flo,Nikaniki,.@yopmail.com,Costa Rica,2023-05-13
d8e808c3-23ed-461f-b0cb-0fe6067b2309,Clementine,Eachern,.@yopmail.com,Cayman Islands,2022-10-05
db0b68bd-eb06-43db-a870-da4b187f47f5,Adelle,Colp,.@yopmail.com,Lebanon,2022-06-20
a68d9e6d-8f55-4844-b5e9-ac8a6e0a21b1,Rosanne,Morgun,.@yopmail.com,Brazil,2024-10-28
ea909dbe-5f9b-4d43-aed8-359ea087ff60,Bettine,Christine,.@yopmail.com,Seychelles,2021-04-01
0f2ef1c9-ad50-451c-9936-38781e1acceb,Corly,Israeli,.@yopmail.com,Nicaragua,2024-04-21
37d1be9c-2eee-4d9b-9dbe-5479dd6a3376,Dorene,Arvo,.@yopmail.com,Greece,2021-10-09
ce15fb83-21ad-419f-9d3b-cfb2027e7636,Dotty,Bashemeth,.@yopmail.com,Azerbaijan,2022-07-31
bd9333ae-4065-4803-b237-008338e24f85,Kirbee,Zrike,.@yopmail.com,Kiribati,2022-04-20
32ab5cae-6ca8-4eb7-a8dc-ed63efcd8365,Jolyn,Maurine,.@yopmail.com,"Virgin Islands, U.S.",2024-06-09
3f5b94d0-9cc0-44a5-8e1a-e74726cded59,Alia,Terencio,.@yopmail.com,Fiji,2023-04-22
094af097-bcf4-4c48-b171-9f6db8410cd6,Shirlee,Flita,.@yopmail.com,Saint Pierre and Miquelon,2024-09-06
09da17d0-3d20-436b-b861-8e314a4bde73,Augustine,Kirstin,.@yopmail.com,Russian Federation,2022-04-05
2c197001-ff65-4ea7-81d1-7c6ca1bab6f5,Winifred,Lea,.@yopmail.com,Nicaragua,2021-09-24
f4d2b36b-7917-4ac5-8cd9-cf851c96b845,Almeta,Rooney,.@yopmail.com,Saint Kitts and Nevis,2022-11-06
86b81a8e-c314-4f40-a937-c9cb135c1dc0,Deane,Shuler,.@yopmail.com,Syrian Arab Republic,2021-08-07
feb4ff64-cff2-44c5-a0df-aab0ef59aafa,Marti,Brian,.@yopmail.com,"Micronesia, Federated States of",2021-03-07
b53fcd02-aea1-4797-94b4-582e07768484,Roxane,Kress,.@yopmail.com,Djibouti,2022-10-16
0f3c0fb3-8a92-48b0-8a64-e15582b65dd6,Clarice,Ellerey,.@yopmail.com,Panama,2022-09-11
4f309b00-f198-49cc-8642-78348c01b2aa,Elmira,Jammal,.@yopmail.com,Congo,2020-04-17
d4af04e4-52bc-4d44-9e71-ce45de90640e,Dorene,Mauer,.@yopmail.com,Angola,2022-01-16
f1d483d4-f180-459e-9e3b-b2560f986b97,Thalia,Yam,.@yopmail.com,Portugal,2020-11-02
e689b7e5-0cc0-4ac2-956f-3239f6afaaf1,Tiffie,Imelida,.@yopmail.com,Jamaica,2020-12-30
5fef94ec-04fc-4cb4-8930-acb60387a032,Mariann,Sigfrid,.@yopmail.com,"Iran, Islamic Republic Of",2020-10-12
09307366-aa43-4d14-a73f-36f0a84bc19e,Minne,Mandler,.@yopmail.com,Palau,2023-07-03
061a164e-ba6a-48f2-9253-f3a3869bd074,Silvana,Allys,.@yopmail.com,Timor-Leste,2021-02-02
0a52b6eb-ca71-40c5-886c-2978db8aa529,Edee,Shaver,.@yopmail.com,Tokelau,2022-03-05
3c57927e-0956-48fd-ba7a-bb505f867123,Carmela,Fillbert,.@yopmail.com,Gabon,2024-03-08
fb88e8f4-d1ac-44b4-a11e-e0f0186fe1a2,Lyssa,Sophronia,.@yopmail.com,Pitcairn,2021-09-12
7130b270-6ec2-4837-a871-037c7f65dfcd,Brooks,Rurik,.@yopmail.com,Pitcairn,2022-09-24
